americký brouk
astronomická jednotka
bebe špatné ráno
bermudský trojúhelník
bilbo pytlík
bohatý šejk
bradavická škola
bramborová kaše
brašna na cihly
brněnský orloj
cesta do říma
černé z nebe
červená karkulka
čvut
dioptrické brýle
drak šmak
dřevotříska
dýňový koláč
elektřina
fantom opery
filozofická fakulta
fraktál
gladiátorské zápasy
hloupý honza
horní palanda
hotel
hroch na koštěti
hvězdná brána
chytač blech
jeden prsten vládne všem
jezero lochness
kocour v botách
kožené kalhoty
létající koberec
medvěd brtník
mlsný kocour
mokrá postel
most přes řeku
nakousnuté jablko
neznámá pyramida
osel domácí
parní lokomotiva
pauza na oběd
pondělní zácpa
poštovní schránka
potopení titanicu
povinná sprcha
pravidlo pravé ruky
rozmlácená klávesnice
ručně nakreslená mapa
řidič hovnocucu
satelit
slez prosím z lustru
smrtelná dávka kofoly
smrtelná nemoc
splachovací dřez
starověký senior
svítící koule
šalina
teroristický útok
těsnění
tlustá housenka
třípatrový dort
třpytka
tukový polštář
tunelové vidění
tvoje máma
ukradený notebook
vanilková kofola
velká čínská zeď
velká poklice
volný čas
voňavá kosmetika
vrána k vráně sedá
vybitá sluchátka
vyschlý rybník
vysoká francouzská bageta
wingardium leviosa
zabahněné boty
záchranná vesta
zákaz vycházení
zašlápnutý komár
zelený sliz
zkažená hořčice
zlý pes
zoubková víla
ztracený klíč
žehlička na baterky
